Price,Close,High,Low,Open,Volume,next_day_high_target,Next_Day_Close_Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2022-10-14,135.9703979,142.0034817,135.783704,141.7971318,88598000,140.4116643,139.9302063
2022-10-17,139.9302063,140.4116643,137.8274709,138.6135434,85250900,144.1455471,141.2469177
2022-10-18,141.2469177,144.1455471,138.1615943,142.9566249,99136600,142.4259968,141.3549805
2022-10-19,141.3549805,142.4259968,139.0360743,139.2227683,61758300,143.3496256,140.893158
2022-10-20,140.893158,143.3496256,140.1660381,140.5296055,64522000,145.2754992,144.7055969
2022-10-21,144.7055969,145.2754992,140.1660346,140.382205,86548600,147.6140577,146.847641
2022-10-24,146.847641,147.6140577,143.4577185,144.6269995,75981900,149.834714,149.6873169
2022-10-25,149.6873169,149.834714,146.7592115,147.4764959,74732300,149.3433879,146.7493591
2022-10-26,146.7493591,149.3433879,145.4621577,148.3313246,88194300,146.4546053,142.2786102
2022-10-27,142.2786102,146.4546053,141.6202787,145.4916741,109180200,154.7574699,153.0281219
2022-10-28,153.0281219,154.7574699,145.2460338,145.6194067,164762400,151.554198,150.6698608
2022-10-31,150.6698608,151.554198,149.2745893,150.4930024,97943200,152.7431228,148.0267029
2022-11-01,148.0267029,152.7431228,146.5331817,152.3795704,80379300,149.5202475,142.5045776
2022-11-02,142.5045776,149.5202475,142.4751012,146.3563165,93604600,140.3134087,136.4616699
2022-11-03,136.4616699,140.3134087,136.3339288,139.586289,97918500,140.4182377,136.1959534
2022-11-04,136.1959534,140.4182377,132.2590854,139.84739,140814800,136.9538133,136.7274475
2022-11-07,136.7274475,136.9538133,133.5287417,134.9460168,83374600,139.1977796,137.2982483
2022-11-08,137.2982483,139.1977796,135.3199779,138.1938892,89908500,136.3632591,132.741333
2022-11-09,132.741333,136.3632591,132.4657535,136.3140453,74917800,144.5519562,144.5519562
2022-11-10,144.5519562,144.5519562,137.2982812,139.0108243,118854000,147.6424004,147.3372955
2022-11-11,147.3372955,147.6424004,142.0914166,143.5185434,93979700,147.9081313,145.9396973
2022-11-14,145.9396973,147.9081313,145.1031068,146.6188094,73374100,151.1658787,147.6719055
